SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,8112,8112,0,0,0,126,126,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,35,3,32,0,0,0,0,0,0,,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,364,285,79,0,0,12,-12,24,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,1028,674,347,7,0,90,53,37,0,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,657,367,284,6,0,40,31,9,0,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,760,450,305,5,0,54,42,12,0,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,891,376,501,14,0,39,37,0,2,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,1132,575,514,43,0,36,26,7,3,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,1483,634,807,42,0,76,42,30,4,,
0,AP,Andhra Pradesh,AP_Other State,Other State,1661,673,988,0,0,37,20,17,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,200,98,100,2,0,8,8,0,0,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,493,194,295,4,0,9,-4,13,0,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,60,36,22,2,0,0,-1,0,1,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,367,179,186,2,0,41,33,8,0,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,94,63,31,0,0,3,3,0,0,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,663,547,115,1,0,28,28,0,0,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,478,272,205,1,0,24,-6,30,0,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,0,0,0,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,76,60,16,0,0,0,0,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,0,0,0,0,0,0,0,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,9,5,4,0,0,0,0,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,0,0,0,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,1,1,0,0,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,4,2,2,0,0,0,0,0,0,,
26,AR,Arunachal Pradesh,AR_Longding,Longding,3,2,1,0,0,0,0,0,0,,
